esp32_id,ts,temp,hum
,2026-04-27 11:24:39,21.8,57.7
,2026-04-27 11:24:44,21.8,57.6
,2026-04-27 11:24:50,21.8,57.6
,2026-04-27 11:24:57,21.8,57.6
,2026-04-27 11:25:02,21.8,57.6
,2026-04-27 11:25:08,21.8,57.6
,2026-04-27 11:25:14,21.8,57.6
,2026-04-27 11:25:21,21.8,57.6
,2026-04-27 11:25:27,21.8,57.6
,2026-04-27 11:25:33,21.8,57.6
,2026-04-27 11:25:38,21.8,57.6
,2026-04-27 11:25:44,21.8,57.6
,2026-04-27 11:25:49,21.8,57.6
,2026-04-27 11:25:55,21.9,57.6
,2026-04-27 11:26:00,21.9,57.7
,2026-04-27 11:26:06,21.9,57.6
,2026-04-27 11:26:11,21.8,57.6
,2026-04-27 11:26:17,21.9,57.6
,2026-04-27 11:26:23,21.9,57.5
,2026-04-27 11:26:28,21.9,57.5
,2026-04-27 11:26:34,21.9,57.3
,2026-04-27 11:26:39,21.9,57.4
,2026-04-27 11:26:45,21.9,57.4
,2026-04-27 11:26:50,21.9,57.4
,2026-04-27 11:26:56,21.9,57.4
,2026-04-27 11:27:01,21.9,57.5
,2026-04-27 11:27:07,21.9,57.4
,2026-04-27 11:27:13,21.9,57.4
,2026-04-27 11:27:18,21.9,57.4
,2026-04-27 11:27:24,21.9,57.3
,2026-04-27 11:27:29,21.9,57.4
,2026-04-27 11:27:35,21.9,57.5
,2026-04-27 11:27:40,21.9,57.6
,2026-04-27 11:27:46,21.9,57.6
,2026-04-27 11:27:51,21.9,57.5
,2026-04-27 11:27:57,21.9,57.5
,2026-04-27 11:28:02,21.9,57.5
,2026-04-27 11:28:08,21.9,57.5
,2026-04-27 11:28:13,21.9,57.5
,2026-04-27 11:28:19,21.9,57.5
,2026-04-27 11:28:24,21.9,57.5
,2026-04-27 11:28:30,21.9,57.6
,2026-04-27 11:28:35,21.9,57.6
,2026-04-27 11:28:41,21.9,57.7
,2026-04-27 11:28:46,21.8,57.7
,2026-04-27 11:28:52,21.8,57.7
,2026-04-27 11:28:57,21.8,57.8
